text,author,score,datetime
"I’ve had my 2018 leaf Tekna 40 kwh for 3 years , It has 98000 miles on the clock but still drives perfectly and everything works as it should . Leafspy says my battery capacity is ~86.2% . Great little car .",@antoniopalmero4063,2,2024-01-23T18:00:58Z
"Driven one for twelve months nearly. Love it, as a vehicle to both drive and enjoy - and with 99% of charging at home on off-peak it's very cheap also. I've needed a rapid charge I think five times in that time and never had a problem finding a chademo. In the UK there are probable more CCS, it just isn't as much of an issue as I think people are making it - to most users",@sstirley,0,2024-01-23T15:08:18Z
"It has a Bose soundsystem, you just can't expect the bass to be 'rounder' , just more distorted.",@WouterB76,1,2024-01-23T14:35:37Z
"Sorry, I'm a Petrol Head not a Volt Head.",@IanM18,1,2024-01-23T13:04:07Z
"They would sell a ton of them if they switched I've from CHADEMO to at least CCS, but preferably NACS.  It's a mystery to me why Nissan haven't made that change.",@jeffcranmer5374,0,2024-01-23T00:49:13Z
Perhaps the sakura is more worth it,@clarksonoceallachain8536,2,2024-01-22T21:20:40Z
"As a automotive enthusiast I can't recall exactly when the Leaf was considered "" relevant "".
Personally I don't think the EV faze is relevant now. The whole thing is a cash grab by megacorps on an idea pushed by a charismatic CEO of a certain company. He convinced the dull masses of the world to think electric motors for vehicles were a modern or new idea. They are not. 🖕",@JL-go3,0,2024-01-22T20:01:34Z
Great down to earth review.,@tolrem,0,2024-01-22T19:00:24Z
"EVs are a technology going nowhere, in my opinion. 
The charging hassles are one of many problems. I see batteries as the cursing factor, with many aspects. Unless battery technology makes massive advances in the near future, EVs are a big failure. Winter, heating the car electrically is a disaster especially if you get stuck in any way. The tendency for batteries to burst into flame must be cured, at minimum some way of predicting the risk. Power storage is far to small. The batteries require relatively large amounts of rare earth minerals, these will be harder and harder to find, so a way of making batteries that store more energy without the minerals, a huge technology jump..
Talking Heads got it right ""Road to nowhere""",@umvhu,2,2024-01-22T17:09:13Z
"ChadEMO is dead.   The leaf is dead.  

It died on the vine and Nissan FAILED to modernize its battery and drivetrain.",@Derpy1969,1,2024-01-22T16:09:37Z
Nissan do have good strong whips. The production line is relentless having got a job there and moved on fast. Not for me. It did open my eyes though on the entire process.,@1990JohnG,0,2024-01-22T15:57:05Z
"EVs - if you live in a flat, you're screwed.
If you want to go a long distance, you're screwed.",@julianevans9548,5,2024-01-22T12:19:21Z
"An EV would probably suit  my needs, so my next car could be an EV.  But it would have to be a used one for my budget maybe a Zoe, a leaf or a kia Soul ev. Then I would make my decision after test  driving all 3. 👍🤔",@rahmann936,0,2024-01-22T10:58:19Z
"A very fair and, dare I say, professional review. Well done.",@GoldenCroc,1,2024-01-22T09:43:16Z
"Ian, are you going back to long hair?",@stottybox3185,0,2024-01-22T08:15:50Z
"The Chadamo makes it the betamax of modern ev cars.  Just charge at home and you'll save money and time.  Avoid roadtrips.Nice car, good review.",@martinwood9014,2,2024-01-22T06:57:01Z
Battery powered cars are not the future.,@zog97xy,2,2024-01-22T01:05:55Z
EV's are on the way out now. No one wants them anymore.,@stoptheplanetiwantoff6906,3,2024-01-21T23:53:32Z
"I love my Leaf Ian... Ive just bought a 21 model 62kw Tekna like yours here for £16K at Car Giant in London with 20k on the clock... But sadly it might have to go back... why the insurance ! I was quoted £1500 for the year but when it came to buy the insurance 3 flags came up from my cousins additional car on my Employee Leasing Vehicle Scheme making my insurance jump to £7000 !!! 😧😲 Sadly EV insurance has narrowed and in the passed these flags could be overlooked as there was competition in the market 5 years ago,,, Now thats not the case and there is no market for Budget EV insurance as there is no competition there since Covid with many independent insurance providers falling by the wayside..",@ianmax69,0,2024-01-21T23:52:49Z
"Whatever your view on Electric vehicles is and speaking to all male compatriots, please do not stick your penis in any of the charging ports.",@VLG105,2,2024-01-21T21:52:14Z
"CHAdeMO to ccs adapter now exists 
https://www.youtube.com/watch?v=wydql2N_F-k
This literally solves the number one problem with owning a NISSAN LEAF EV and makes it so they can now use any and all EV public fast chargers ... With an extra Tesla NACs adaptor can also do that Tesla supercharger network which is more than doubling the number of charge stations it can use and making it be able to use more than any other EV. 
This makes the Japanese EVs with this plug be the best EVs on the road for been best value and best reliability and best styling and best EV network access ... Once owner has all adaptors...
Is it a conspiracy that the YouTube partner EV news channels are so far all ignoring this breaking most important news item because it goes against their anti-japanese liar campaign to always put shit on everything from Japan 🗾... 
Even tho the leaf has always been the best EV for so many reasons like the only EV that never blows up and Japanese EVs brands have never had a battery fire....!
Japanese cars have always been the most reliable and highest quality and longest lasting. This is still true for their EVs.",@TimBorg,4,2024-01-21T21:04:38Z
"LEAF = BEST EV for; build quality, Safety (only EV to never have a battery fire) value, looks and styling, sexiness, quietness, type of EV, most practical EV, most advanced JAPANESE TECH 
With the CCS to CHAdeMO adaptor now available the LEAF can use more public fast chargers than any EV with only CCS
Tesla = Lowest quality most dangerous always exploding fire hazards on the roads... (most common EV to have battery fires and major design flaws),,,.,,",@TimBorg,2,2024-01-21T20:59:57Z
Brilliant observation about the handbrake. My Renault Zoe has an electric handbrake that the car insists on turning on and will not allow me to park off handbrake free. If I leave the car for two days or more it welds itself on and I get endless weird error messages as I try and force it to release it. A good BANG!!! later and it finally releases which is loud enough for pedestrians to turn their heads to see what has happened. It really is a major pain and shows simple bad design.,@mbak7801,0,2024-01-21T20:56:52Z
"I like the wheels, their design is reminiscent of the coil windings on an electric motor. There don't look like much fun to clean though.",@MikeSamuelsII-ve8gp,1,2024-01-21T20:52:40Z
"I had a Leaf for two years. After 8000 miles its range was 35 miles in winter at night (- heater, lights, wipers etc). It needed a new £5,000 battery. Factor that into your running costs - £2500 per annum for batteries. The dealer said the 5 year warranty is void because I plugged it in to recharge it when it was already 80% full. Apparently the same applies if you let the battery go below 20%. In which case the useable range is actually 60% of its real range, which in turn is probably 85% of the manufacturer's claimed range. I have solar panels at home so of course when the sun shone on them I plugged it in. You would, wouldn't you? The dealer never told me not to plug it in if it was already 80% full, and why did the stupid computer on board allow this? That's the last time I have an EV.",@gasgas2689,7,2024-01-21T19:41:56Z
Theres a (pricey) chademo to ccs adapter.,@davidspencer7254,0,2024-01-21T19:41:36Z
"It's a very common car in Norway. Reasonable cheap to buy, and durable to the extreme. However with the many new EV's offered, it's future is behind it. Chademo charging is off course a huge disadvantage for the Leaf.",@robertdemeny251,0,2024-01-21T18:11:34Z
Please do not touch  Nissan/Renault 1.2 dig t. You will be lucky to see 50k before the engine explodes. Fact.,@stevenhearnden6103,0,2024-01-21T17:35:38Z
"Ive been driving one in the US for 2 years.  It's a great car, the chademo is a downside, newer ones in the US use ccs.  It would be nice if nissan let us retrofit ccs on chademo cars without voiding the warranty.",@vanessamonster5038,0,2024-01-21T16:17:59Z
Hyundai Ioniq does almost as many miles from a 38kwh battery. Efficiency of 4.7 miles per kwh rather than 3.,@vannicrider7953,0,2024-01-21T15:44:12Z
"As always pro’s and con’s fully explain, with real world experience, such as charge point. There is a place for all, these should be championed alongside ICE, as better is some circumstance, such as short urban journeys and where home charging allows",@russellb1212,1,2024-01-21T15:43:11Z
At this point I'd struggle to justify a Leaf compared to an MG4 or BYD Dolphin.,@deanstyles2567,0,2024-01-21T14:40:00Z
"Seems Nissan went all betamax, when the world had chose vhs.",@tomoreilly9932,2,2024-01-21T14:05:17Z
"You nailed it in regards to driving an ev in a rural area. I live in a larger rural city and we have two public plugs in town. Many people like me do a lot of miles since everything is far. Unless you have an employer that you can charge at, it’s a tough sell in rural areas.  Keep up the great variety!",@OhioPeteS2k,1,2024-01-21T13:36:18Z
"Is it me or has that been in a smash? Passenger door doesn't match front wings. 
Looks like a front end repaint.",@lordbungle6235,2,2024-01-21T13:35:39Z
"People apply politics to EV’s. At the day they are just consumer products, like shoes or a conservatory or a new suitcase. Why people get riled by them I have no idea. 
The charging, thermal runaway and human slavery issues are something that needs serious attention, but you can’t knock them for being what they are designed to do, be a car.",@TheCounty90,2,2024-01-21T13:23:37Z
If i haven't got a classic for Rustival i am bringing my 23 plate Hyundai Bayon Hybrid ( it's all ready booked in ) feel free to come and have a look over it,@leeallen1407,1,2024-01-21T12:58:32Z
I don't know about writing off the 13A plug. Say you were gòing away for the weekend. 62kWh/3.1kW is only 20 hours to leave it plugged in and get your money's worth from a rented place,@jamesbrett6518,2,2024-01-21T11:16:50Z
I think I speak for the whole market when I say I think it’s probably just about the right time to launch the Leaf Mark III.,@maxnewts,3,2024-01-21T11:15:10Z
A very thorough and interesting review. Thanks 👍,@plym1969,0,2024-01-21T11:05:52Z
Wud not touch a electric car,@johngough7614,7,2024-01-21T10:59:33Z
"The Leaf is the defacto example of a car that does have quite a bit of degradation, due to lack of proper battery management. Buying a 2nd hand Leaf requires a proper check of the battery. Especially the 30 kWh versions often have very worn out batteries because their rapid charging was actually too fast and heated up the battery too much. And about public charging: If it is done via AC, which is the most usual, the Leaf fares just as well as any other EV, be it is limited to 1-phase which is a disadvantage in some countries like the Netherlands.",@salipander6570,0,2024-01-21T10:59:31Z
Brits can build proper cars now that the unions don`t have any clout.,@kevinpotts-to5nm,3,2024-01-21T10:32:29Z
"We have a 2016 Tekna leaf which is only 24kw, it fits in with our life style perfectly. We both work from home, it's perfect for whizzing around locally for picking up and dropping off kids etc. We love it, so easy to drive and still able to shock boy racers at the traffic lights 😂. I think the type of  EV you chose is definitely proprationate to its use and your life style and the leaf ticks all those boxes for us. I should add we still have a diesel as a second car which we don't use that often but still need for towing the caravan 🙄",@martinroscoe6890,4,2024-01-21T10:24:16Z
"I test drove the Hyundai Kona and I believe it has similiar bhp, and again if you put your foot down all hell would break loose, it's too much power for the car to handle, and probably most people too.  I drove the 150bhp Leaf and it was fine, and the VW ID 3 which was 200+ bhp but rear wheel drive, it seemed a lot more refined.  The VW was like £37k and didn't even come with rear speakers as standard, it was far too basic and feature-less.  Anyways I got annoyed with the whole thing and still have a diesel car, no regrets.",@Crana,3,2024-01-21T09:58:15Z
Good review. Saw you guys yesterday in cardigan. Was rushing somewhere so didn't stop to say hello 😊,@heatherread5314,1,2024-01-21T09:54:03Z
"I could have sworn the Leaf was based on the Tilda, a model mainly aimed at developing markets.",@MajorKlanga,0,2024-01-21T09:07:13Z
"Such an ugly looking and badly thought out car. And I noticed it was getting 3.1 m/kwh, I get that out of my 3 series PHEV which is lugging round a petrol engine too! So many better electric cars on the market now, this deserves to quietly disappear.",@HiruS22,2,2024-01-21T08:54:15Z
"I was extremely tempted by one of these.

Ended up going for a plug in hybrid

Not sure if I chose right yet.",@paulsheehan2998,0,2024-01-21T08:42:01Z
"Most the older leafs only have half their range left ,and they seem deadly in a crash .",@paulb4uk,0,2024-01-21T08:37:14Z
Every honest review of EVs highlights the charging issue. Really puts me off buying one. Got to sort it out EV manufacturers!,@smoothmicra,3,2024-01-21T07:31:41Z
"I tend to agree with you about power. I don't understand the fascination with manufacturers to have ridiculous bhp on EV's. I don't need silly 400+ bhp and sub 4 second 0-60 as seems to be common place on EV's. I'd prefer to have less and have more range. The top 3 selling cars in the UK for 2023 all have less than 200bhp. So give me an EV with 200bhp, 0-60 in 7 seconds, but a range of 400 miles please.",@kennyg4744,3,2024-01-21T06:21:14Z
You can't beat a manual cable operated handbrake the Suzuki Baleno has one and that's a modern car and it's a good thing that Nissan is still making ICE cars so they will survive as a lot of Japanese vehicle manufacturers are still building ICE vehicles and may one or two EVs were as totally EV brands are struggling and the massive depreciation of an EV were one in particular ICE vehicle in Australia is appreciating the Suzuki Jimny,@lesklower7281,0,2024-01-21T05:33:49Z
"I still love my MK1 leaf and it it's used daily for the work commute of about 35 miles per day for which it's perfect for.
Mine is the 24kwh so summer range is around 90 miles and winter around 55 miles.
99% of the time mine is always charged at home overnight so it's very cheap to run.
Like Ian says a CCS adaptor is currently in development which will be great and keep the Leaf current for many more years.
I do intend to upgrade to the Gen 2 leaf maybe soon to one with the 60kwh battery for longer journeys.",@matt-beale,2,2024-01-21T05:32:31Z
"One of the best and impartial reviews on an electric car .I am not a fan of EVs but that Nissan has got a lot of things right so silly huge touch screen plenty of normal switches and dials looks like a ""normal"" car not ugly but no need for all that power and still the charging issues in the real world",@pauldavies6037,1,2024-01-21T04:54:13Z
Hubnut can you do a review of a Ford festiva like circa 1988?  I think they also went by the mazda 121 and kia something.  My wife and I bought one new in I think 1987 or 88.  Loved it!  Drove great and ours was extremely reliable.  It was very very hubnut imho.,@jamesmack3266,0,2024-01-21T04:11:05Z
"Electric drive, with adaptive cruise control, is the ultimate for waft. For driving dynamics, get a Caterham. An electric Caterham is an interesting thought.",@michaelwright2986,2,2024-01-21T03:44:35Z
Ironic name because leaves need CO2 to live so this car is killing them!,@V8_screw_electric_cars,1,2024-01-21T03:06:14Z
There is a Brazilian Company featured on Dala's Ev repair that has Beta stage CCS adaptor for the Chademo Nissan and some people bought and used it and improved it by giving the Adapter a bigger battery.,@keithwilson1554,1,2024-01-21T02:27:53Z
"Hey Ian, you might want to check Dala's EV Repair channel. Dala is something of a EV/Leaf hacker and he's got a couple of videos on Chademo to CCS and he's actually got a device in his hands right now. I'm interested in getting the original Leaf of about 2013 vintage and being able to modify it.",@PaulLemars01,2,2024-01-21T02:11:55Z
An ageing EV? Must be a Hubnut EV.,@antw3565,0,2024-01-21T01:43:24Z
If only they’d water cooled the battery. People have preconceptions of EVs that are 15 years out of date because of that,@MePeterNicholls,1,2024-01-21T01:22:58Z
People in evs are laughed at  cueing to charge and spending valuable time in Starbucks and money milk floats have been proud a hundred years nothing new as in wales you only do 20mph overtaking pushbike s being thr norm😂😂😂,@user-zh5jt9rp7g,2,2024-01-21T00:36:44Z
Just a deisil cat didn't burn down an airport melting the rebar in the concrete it was a hundred evs charging that caught  fire,@user-zh5jt9rp7g,1,2024-01-21T00:31:49Z
Why dont they make them with half the power output and a much greater range? 241bhp seems about twice of the old petrol variant.,@notmanynamesleft,6,2024-01-21T00:18:50Z
"It's fascinating to watch how divided people are over EV's to the point of insulting complete strangers online

I don't notice the same zealotry between diesel and gasoline 

I'm putting it down to the cancerous effect of social media",@Pyjamarama11,8,2024-01-20T23:51:58Z
Ian please please dont let that mullet get to far advanced,@andypicken7848,6,2024-01-20T23:51:01Z
"Using power to keep the battery warm even when not being used 

That'll save the planet 😅",@Pyjamarama11,2,2024-01-20T23:38:24Z
"Great video. The competition has leapfrogged the Leaf, that mattered to me, but it doesn’t matter to everyone. 

I hope the CCS charger adapter becomes widely available for these cars to keep running. Whatever your opinion, keeping cars on the road longer is a great thing, cheap motoring is a lifeline for many people, particularly if they need an “auto” this would be a great motor used at less than a fiver to charge at home on the right tariff with minimal maintenance.",@BN-cf8gk,1,2024-01-20T23:32:10Z
The problem I have is the miles I do per day for work. I can fill up with petrol in minutes. Need to charge?,@paulwatts2192,1,2024-01-20T23:15:10Z
I think the work you have done on EVs is some of your best.  Straight to the point covering off my interests and concerns.,@MrCElk,1,2024-01-20T23:08:37Z
"When the smoke clears (figuratively), how about a review of a BMW i3? another electric-only platform which was released about the same time as the gen 1 Leaf, but is a completely different animal.  Maybe the 2CV of electric cars, many pioneering and quirky ideas, not entirely practical, but a lot of fun to drive.",@v12mike30,1,2024-01-20T23:07:38Z
"Having worked for over 20 years. In 5 different car facilities on wide range of older and modern cars , electric cars are not for me,too much money wasted on this crap ,i love my 20 year old car thats never failed an mot in 17 years ,stuff EV",@GT-iy9wk,6,2024-01-20T22:50:22Z
When these ev's are old enough for corrosion to start eating away at sills etc will we be able to have them welded ?,@keithbennett1656,1,2024-01-20T22:33:01Z
Ev cars are not happening sorry,@marklockwood8386,4,2024-01-20T22:32:26Z
"Bose audio is usually vastly overrated. Great marketing but poor sound quality. Had the same in an Alfa GT I had. JBL, Focal and HK stuff in cars tends to be better. 
Nice road test, quite reminiscent of old school Chris Goffey Top Gear",@pizzalover3,2,2024-01-20T22:29:17Z
That N/S/F door looks like it’s been painted by a blind man or is it just the lighting/camera.,@goldieandblackie,1,2024-01-20T22:24:58Z
"The main reason that the prices are either staying static or dropping is because of all the bad press. That's because of the poor quality Chinese batteries that are being used in order to keep production costs down and profits up.
I think that when a cheaper and safer alternative to this generation of batteries is developed and made available then the prices will stabilise and people will be more willing to put their hard earned cash into the product.",@allsortsabouteverything,1,2024-01-20T22:23:06Z
"I think pure electric cars are the biggest con ever. You do realize that if they sell the planned quota of pure EVs the can then ration the charging.
It's completely obvious our current Government has no commitment to the power supply to our homes, never mind the colossal amount of electricity to run pure EVs.

Good idea in principal but proving to be to annoying and impractical for real life use.",@jbz2079,7,2024-01-20T22:22:31Z
Wonder if there's an adaptor for the charger. Seems unlikely Nissan would drop the ball on charging.😮,@terryatkinson3182,1,2024-01-20T22:10:21Z
Far nicer to follow an electric than a diesel.,@peterjeremymckenzie8444,8,2024-01-20T22:07:20Z
"Interesting review. I bought a new Mercedes 220d 3 years ago, it does 60 to 70mpg day to day and I only need to fill it up once a month, a full tank gives a 900 mile range. It’s a lovely car and very convenient and cost effective to run. Recently I’ve been looking at a Polestar on a scheme through my work. With a wall box I could keep it charged at home no problems with fuel costs being a little lower than the diesel Mercedes. What puts me off is the charging network away from home. Last year we did a road trip to Scotland in a PHEV car. We couldn’t find anywhere to charge the battery. Domestic supplies tripped out on the 3 pin plug, service area chargers were all in use, we found a bank of empty chargers but you needed an app to use them and there was no mobile internet to download the app…..Luckily we had the option of just running on petrol so did that instead.",@alansorbie4038,7,2024-01-20T22:06:13Z
"The Leaf started our electric journey.  I would never go back to an ICE car.  Electrics are so much nicer to drive and more convenient.   I look at petrol and diesel vehicles in the same way I look a steam trains.  Great things, but they are now irrelevant and only of historic interest.",@TheBigT.,8,2024-01-20T22:05:15Z
Hair entering dangerously hippy territory again 😒😒😒,@alech8336,5,2024-01-20T22:01:36Z
Will never own a milk float,@ThirdDegreeWitchExplores,5,2024-01-20T21:59:25Z
"Electric cars in general are not relevant, i owned an EV  for 6 months and ownership was an absolute nightmare, we simply do not have the infastructure",@Titus_Phook,4,2024-01-20T21:56:48Z
"This video was electric 😂

another great video has always Ian and miss hubnut and hublets and hubmutts 👍",@tonysargent7787,3,2024-01-20T21:54:09Z
Apparently a lot of Teslas in USA and now in U.K. have failed in the cold temperatures.,@davidrumming4734,2,2024-01-20T21:52:42Z
"I had Tekna 40kw and now a Tekna 62kw. I have only charged once at  ChaDemo point with my second car as Nissan ""paid"" for a charger for my first. I use my ""granny charger"" (13amp plug) when overnight visiting. I use the E-Pedal as much as possible. Some other EVs don't have the same level of recharge on braking that I am now used to. I fitted a spare wheel and a custom made boot floor.",@lordpitnolen2196,8,2024-01-20T21:43:58Z
"I checked over Christmas on the web site, the bigger battery version is no longer available.

So we are now stuck with the small battery and incompatible plug for public charging.",@davidrumming4734,1,2024-01-20T21:35:31Z
The leaf connector is the betamax of the EV world. Great review as always 👍,@CauliflowerMcPugg,6,2024-01-20T21:33:08Z
"Work colleague has the older one, bought cheap, crap range but used just for his work commute and local journeys, he reckons he’s saved a fortune and virtually no service costs. Not bad for a now 10 year old car.",@bordersw1239,8,2024-01-20T21:26:42Z
"We owned 2 generations of Leaf. The 30, and then 40 kWh Leaf. 30 struggled as we live in rural Ireland but the 40 was a brilliant car. The issue with charging didn't bother us as we charge at home 99% of the time. Hugely comfortable cars, very good at what they do, even if slightly dated at this stage.",@marktoby8113,12,2024-01-20T21:26:38Z
"Lots of these @work mostly through Auctions and ""Insurance jobs."" Seems to a lot of careless people and ""acts of God""--type scenario's with EV's/Hibrids. Strange. We actually had a 2014 Leaf SV in Silver just arrive last week and it's actually a very nice car...42.115 original miles/we're selling it on behalf of the original owner. All Paperwork from new,ect. We're asking $6500(U.S.) for it. We also just sold a '16 Leaf S for $7900.",@StevensPaul,1,2024-01-20T21:15:35Z
